a,b,code,pre,preposition,post
bowl,cake,L,cake is,beside,the bowl
cake,donut,L,donut is,beside,the cake
cake,bowl,R,bowl is,next to,the cake
potted plant,dining table,L,dining table is,beside,the potted plant
potted plant,person,L,person is,beside,the potted plant
dining table,potted plant,R,potted plant is,next to,the dining table
dining table,person,OT,person is,on top of,the dining table
person,potted plant,R,potted plant is,next to,the person
person,dining table,OB,dining table is,around,the person
bowl,potted plant,L,potted plant is,beside,the bowl
bowl,potted plant,L,potted plant is,beside,the bowl
potted plant,bowl,R,bowl is,next to,the potted plant
potted plant,bowl,R,bowl is,next to,the potted plant
potted plant,bowl,OB,bowl is,partially covering,the potted plant
bowl,potted plant,OT,potted plant is,on top of,the bowl
remote,cup,R,cup is,next to,the remote
remote,bowl,L,bowl is,beside,the remote
cup,remote,L,remote is,beside,the cup
cup,bowl,OT,bowl is,on top of,the cup
bowl,remote,R,remote is,next to,the bowl
bowl,cup,OB,cup is,around,the bowl
bottle,cake,OB,cake is,around,the bottle
bottle,cake,L,cake is,beside,the bottle
bottle,cake,L,cake is,beside,the bottle
cake,bottle,OT,bottle is,on top of,the cake
cake,bottle,R,bottle is,next to,the cake
cake,bottle,R,bottle is,next to,the cake
bottle,cake,L,cake is,beside,the bottle
bottle,spoon,L,spoon is,beside,the bottle
bottle,orange,R,orange is,next to,the bottle
cake,bottle,L,bottle is,beside,the cake
cake,spoon,L,spoon is,beside,the cake
cake,orange,R,orange is,next to,the cake
spoon,bottle,R,bottle is,next to,the spoon
spoon,cake,R,cake is,beside,the spoon
spoon,orange,OR,orange is,partially covering,the spoon
orange,bottle,R,bottle is,next to,the orange
orange,cake,L,cake is,beside,the orange
orange,spoon,OL,spoon is,partially covering,the orange
pizza,dining table,O,dining table is,on,the pizza
pizza,umbrella,OR,umbrella is,beside,the pizza
dining table,pizza,I,pizza is,inside,the dining table
dining table,umbrella,I,umbrella is,inside,the dining table
umbrella,pizza,OL,pizza is,partially covering,the umbrella
umbrella,dining table,O,dining table is,on,the umbrella
chair,dining table,OL,dining table is,partially covering,the chair
chair,dining table,OL,dining table is,partially covering,the chair
chair,dining table,OR,dining table is,beside,the chair
dining table,chair,OR,chair is,beside,the dining table
dining table,chair,OR,chair is,beside,the dining table
dining table,chair,OL,chair is,partially covering,the dining table
cup,chair,OT,chair is,top to,the cup
cup,cat,OR,cat is,right to,the cup
cup,dining table,OB,dining table is,bottom to,the cup
cup,chair,OT,chair is,top to,the cup
chair,cup,OB,cup is,bottom to,the chair
chair,cat,R,cat is,right to,the chair
chair,dining table,R,dining table is,right to,the chair
chair,cup,R,cup is,right to,the chair
cat,cup,OL,cup is,left to,the cat
cat,chair,OL,chair is,left to,the cat
cat,dining table,OB,dining table is,bottom to,the cat
cat,chair,L,chair is,left to,the cat
cat,cup,OB,cup is,bottom to,the cat
dining table,cup,OT,cup is,top to,the dining table
dining table,chair,L,chair is,left to,the dining table
dining table,cat,OT,cat is,top to,the dining table
vase,cat,OT,cat is,top to,the vase
cat,vase,OB,vase is,bottom to,the cat
cat,potted plant,OL,potted plant is,left to,the cat
potted plant,cat,OR,cat is,right to,the potted plant
laptop,bowl,L,bowl is,left to,the laptop
bowl,laptop,R,laptop is,right to,the bowl
bowl,tv,R,tv is,right to,the bowl
tv,bowl,L,bowl is,left to,the tv
bench,handbag,OT,handbag is,top to,the bench
handbag,bench,OB,bench is,bottom to,the handbag
clock,bus,O,bus is,outside,the clock
bus,clock,I,clock is,inside,the bus
chair,teddy bear,R,chair is,right of,the teddy bear
chair,cat,I,chair is,in front of,the cat
chair,teddy bear,R,chair is,right of,the teddy bear
chair,cat,OB,chair is,on top of,the cat
teddy bear,chair,L,teddy bear is,left of,the chair
teddy bear,chair,L,teddy bear is,left of,the chair
teddy bear,cat,L,teddy bear is,left of,the cat
cat,chair,O,cat is,on,the chair
cat,chair,OT,cat is,on top of,the chair
cat,teddy bear,R,cat is,right of,the teddy bear
vase,potted plant,O,vase is,on,the potted plant
vase,dining table,OB,vase is,on top of,the dining table
potted plant,vase,I,potted plant is,inside,the vase
potted plant,dining table,OB,potted plant is,on top of,the dining table
dining table,vase,OT,dining table is,under,the vase
dining table,potted plant,OT,dining table is,under,the potted plant
dining table,vase,OT,dining table is,on top of,the vase
vase,dining table,OB,vase is,outside,the dining table
bench,potted plant,OT,bench is,on top of,the potted plant
potted plant,bench,OB,potted plant is,outside,the bench
laptop,potted plant,OT,laptop is,on top of,the potted plant
keyboard,laptop,O,keyboard is,outside,the laptop
potted plant,laptop,OB,potted plant is,outside,the laptop
potted plant,dining table,OB,potted plant is,outside,the dining table
dining table,potted plant,OT,dining table is,on top of,the potted plant
potted plant,bed,OB,potted plant is,outside,the bed
bed,potted plant,OT,bed is,on top of,the potted plant
potted plant,cup,OB,potted plant is,outside,the cup
cup,potted plant,OT,cup is,on top of,the potted plant
person,tv,R,tv is,right to,the person
person,tv,R,tv is,right to,the person
tv,person,L,person is,left to,the tv
tv,person,L,person is,left to,the tv
person,mouse,L,mouse is,left to,the person
mouse,person,R,person is,right to,the mouse
person,cake,R,cake is,right to,the person
person,truck,L,truck is,left to,the person
person,tv,R,tv is,right to,the person
cake,person,L,person is,left to,the cake
cake,truck,L,truck is,left to,the cake
cake,tv,L,tv is,left to,the cake
truck,person,R,person is,right to,the truck
truck,cake,R,cake is,right to,the truck
truck,tv,R,tv is,right to,the truck
tv,person,L,person is,left to,the tv
tv,cake,R,cake is,right to,the tv
tv,truck,L,truck is,left to,the tv
person,truck,L,truck is,left to,the person
person,potted plant,L,potted plant is,left to,the person
person,tv,L,tv is,left to,the person
person,truck,L,truck is,left to,the person
person,potted plant,L,potted plant is,left to,the person
person,tv,L,tv is,left to,the person
truck,person,R,person is,right to,the truck
truck,person,R,person is,right to,the truck
truck,potted plant,OT,potted plant is,top to,the truck
truck,tv,L,tv is,left to,the truck
potted plant,person,R,person is,right to,the potted plant
potted plant,person,R,person is,right to,the potted plant
potted plant,truck,OB,truck is,bottom to,the potted plant
potted plant,tv,L,tv is,left to,the potted plant
tv,person,R,person is,right to,the tv
tv,person,R,person is,right to,the tv
tv,chair,R,chair is,right to,the tv
tv,chair,R,chair is,right to,the tv
tv,bed,L,bed is,left to,the tv
chair,tv,L,tv is,left to,the chair
chair,bed,OR,bed is,right to,the chair
chair,tv,L,tv is,left to,the chair
chair,bed,R,bed is,right to,the chair
bed,tv,L,tv is,left to,the bed
bed,chair,OL,chair is,left to,the bed
bed,chair,L,chair is,left to,the bed
book,suitcase,L,suitcase is,left to,the book
suitcase,book,R,book is,right to,the suitcase
potted plant,keyboard,R,keyboard is,right to,the potted plant
keyboard,potted plant,L,potted plant is,left to,the keyboard
